errorMessageIconMissing,Missing icon image. Image is no longer at original location.
errorMessageStatsMissing,Item does not have stats. Please open and resave item.
errorMessageMeshMissing,Missing mesh/meshes.
errorMessageMaterialMissing,Missing material/materials.
errorMessageMeshUUIDMissing,Mesh is missing UUID. Please delete or resumbit mesh.
errorMessageMeshFileNotFound,Cannot find mesh at specified address.
errorMessageMeshEmpty,Mesh GR2 empty. Does not contain objects.
errorMessageIncorrectSubmeshOrder,Submesh order is incorrect.
errorMessageIncorrectSubmeshID,Submesh order or ID has changed.
errorMessageMaterialUUIDMissing,Material is missing UUID. Please delete or resubmit material.
errorMessageTextureMissing,Texture is missing from material.
errorMessageNeedFullProjectPath,The project folder field must have a full path. Example: C:\Mod Files
errorWord,Error
errorMessageIncompleteForm,Must enter all information before continuing.
errorMessageResubmitData, must be edited and submitted again.
errorMessageItemTableErrors,There are errors in the item table.
informationMessageNewProfileName,Enter in a new name for this profile.
errorMessageNewProfileName,New name must be different from old name.
confirmMessageDeleteProfile,Are you sure you wish to delete profile 
confirmMessageSaveProfile,Do you wish to save the current information?
errorMessageUnableToCopy,Unable to create copy.
informationMessageProfileLocation,Select a location to store your mod profiles.
errorMessageCreateSaveFile,Error creating profile save file.
errorMessageCreateFolders,Unable to create folders.
informationMessageCreateProjectFolders,Creating Project Folders
informationMessageFinishedProjectFolders,Finished project folder setup.
informationMessageCreatingFolder,Creating folder 
folderWord,Folder
createdSuccessfullyWords, created successfully.
errorMessageFolderCreationFail,Failed to create the folders: 
alreadyExistsWords, already exists.
movingMaterialsForWords,Moving materials for 
movingTextureWords,Moving texture 
didNotMoveTextureWords,Did not move texture 
ignoringMaterialTextureWords,. Ignoring material textures.
incorrectTextureTypeWords,. Incorrect texture type.
couldNotFindTextureWords,Could not find texture 
atOriginalAddressWords, at original address 
movingMeshesForWords,Moving meshes for 
movingMeshWords,Moving mesh 
forItemWords, for item 
movingIconsForWords,Moving icons for 
readingIconImageWords,Reading icon image 
iconForWords,Icon for 
loadedWord, loaded.
copyingIconWords,Copying icon 
fromWord, from 
toWord, to 
resizingIconWords,Resizing icon 
creatingIconWords,Creating icon
atWord, at 
unableToLoadAndConvertWords, was unable to be loaded and converted.
informationMessageCombinedIcons,Combined icons.
informationMessageFinishedMovingFiles,Finished moving files.
errorMessageDDSLoading,Error loading DDS image. Is there a problem with the image format?
couldNotConvertWords,Could not convert 
toDDSWords, to dds.
informationMessageCompletedDDSConversion,Completed DDS conversion.
informationMessageManualConversion,Files have been moved. Manually convert these textures to .dds.
errorMessageEmptyMeshName,Must enter a mesh name.
errorMessageInvalidMesh,Invalid GR2 mesh.
errorMessageBlankMeshAddress,Mesh address and name must not be blank.
errorMessageEmptySubmeshTable,Submesh table is empty.
errorMessageMeshBoundsFormat,"All numbers in the mesh bounds must be in the form #.##. Example: 1.24, 0.3, 0.04"
errorMessageInvalidLODNumber,Must enter valid number for LOD.
errorMessageEmptySubmeshID,Must have an ID for all submeshes.
errorMessageNoBodySelection,Must select a body type.
replaceProfileWords,The following profile will be replaced: 
continueWords,. Do you wish to continue?
replaceProfileTitleWords,Replace Profile
loadedBeginWord,Loaded 
profilesEndWord, profiles.
errorMessageNoTintSelection,Must select the tintable check box or non-tintable check box for materials.
errorMessageEmptyRowSelection,Please select a row.
errorMessageNoMaterialCreated,Please add at least one material.
errorMessageInvalidUUID,Invalid UUID.
errorMessageFileNotFound,File/s not found.
errorMessageMaterialTableErrors,Errors present in material table.
informationMessageLoadingMeshes,Loading Meshes
informationMessageLoadingTextures,Loading Textures
errorMessageValidNumberStats,"Armor class, ability modifier cap, and minimum level must be integers."
errorMessageDamageFormat,Damage must be in format 'numberdnumber' like 1d3 or 2d5.
levelBeginWord,Level
rangeWords,", damage range, and weapon range"
mustBeIntegersEndWords, must be integers.
errorMessageInvalidProjectileUUID,Projectile must be a valid UUID.
errorMessageCustomWeaponTemplate,Custom weapons must have a visual template chosen.
chooseAColorTitle,Choose a Color
errorMessageIncorrectImageFormat,"Please enter all data correctly before continuing. Texture files must be .png, .tiff, .tga, .jpg, .bmp or .dds."
toolTipItemPassives,Enter in passives. Example: ARM_SuperiorPadding_1_Passive
toolTipItemBoosts,"Enter in boosts. Example: Disadvantage(Skill,Stealth) or AC(1)"
toolTipIgnoreMaterialTextures,Only regenerate text files and icons. Textures for materials will be ignored.
